#ID = Affymetrix Probe Set ID
#GB_LIST = GenBank Accession Number
#ORF = gene name
#ORGANISM = 
#Annotation Date = The date that the annotations for this probe array were last updated. It will generally be earlier than the date when the annotations were posted on the Affymetrix web site.
#Sequence Type = Indicates whether the sequence is an Exemplar, Consensus or Control sequence. An Exemplar is a single nucleotide sequence taken directly from a public database. This sequence could be an mRNA or EST. A Consensus sequence, is a nucleotide sequence assembled by Affymetrix, based on one or more sequence taken from a public database.
#Sequence Source = The database from which the sequence used to design this probe set was taken.
#Target Description = GenBank description associated with the representative public identifier. Blank for some probe sets.
#Representative Public ID = The accession number of a representative sequence. Note that for consensus-based probe sets, the representative sequence is only one of several sequences (sequence sub-clusters) used to build the consensus sequence and it is not directly used to derive the probe sequences. The representative sequence is chosen during array design as a sequence that is best associated with the transcribed region being interrogated by the probe set. Refer to the "Sequence Source" field to determine the database used.
#Gene Title = Title of Gene represented by the probe set.
#Gene Symbol = A gene symbol, when one is available (from UniGene).
#EntrezGeneId = Entrez Gene Database UID
#RefSeq Transcript ID = References to multiple sequences in RefSeq. The field contains the ID and Description for each entry, and there can be multiple entries per ProbeSet.
#Gene Ontology Biological Process = Gene Ontology Consortium Biological Process derived from LocusLink.  Each annotation consists of three parts: "Accession Number // Description // Evidence". The description corresponds directly to the GO ID. The evidence can be "direct", or "extended".
#Gene Ontology Cellular Component = Gene Ontology Consortium Cellular Component derived from LocusLink.  Each annotation consists of three parts: "Accession Number // Description // Evidence". The description corresponds directly to the GO ID. The evidence can be "direct", or "extended".
#Gene Ontology Molecular Function = Gene Ontology Consortium Molecular Function derived from LocusLink.  Each annotation consists of three parts: "Accession Number // Description // Evidence". The description corresponds directly to the GO ID. The evidence can be "direct", or "extended".
#SPOT_ID = 
ID	GB_LIST	ORF	ORGANISM	Annotation Date	Sequence Type	Sequence Source	Target Description	Representative Public ID	Gene Title	Gene Symbol	EntrezGeneId	RefSeq Transcript ID	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function	SPOT_ID
AF008984.1_at	AF008984.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008984.1_RC_at	AF008984.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008985.1_at	AF008985.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008986.1_at	AF008986.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008986.1_x_at	AF008986.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008987.1_RC_at	AF008987.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008987.1_x_at	AF008987.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008988.1_at	AF008988.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008988.1_RC_at	AF008988.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008988.1_x_at	AF008988.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008989.1_at	AF008989.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008989.1_x_at	AF008989.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF039275.1_at	AF039275.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF039276.1_s_at	AF039276.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF039276.1_x_at	AF039276.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF039277.1_at	AF039277.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF039277.1_RC_at	AF039277.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF039278.1_at	AF039278.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF039278.1_RC_at	AF039278.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF039279.1_at	AF039279.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF039279.1_RC_at	AF039279.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF039280.1_at	AF039280.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF039280.1_RC_at	AF039280.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF039280.1_RC_x_at	AF039280.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF039280.1_x_at	AF039280.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF039281.1_at	AF039281.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF039282.1_s_at	AF039282.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF039283.1_at	AF039283.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF039283.1_x_at	AF039283.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF041425.1_RC_at	AF041425.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF041425.1_RC_x_at	AF041425.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF041425.1_x_at	AF041425.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF042160.1_RC_at	AF042160.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF042160.1_RC_x_at	AF042160.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF042160.1_s_at	AF042160.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0016337 // cell-cell adhesion // inferred from sequence or structural similarity /// 0044403 // symbiosis, encompassing mutualism through parasitism // inferred from direct assay	0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from sequence or structural similarity /// 0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF057712.1_s_at	AF057712.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF061079.1_s_at	AF061079.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF061155.1_at	AF061155.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF061155.1_RC_at	AF061155.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF061155.1_RC_x_at	AF061155.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF061960.1_at	AF061960.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF062397.1_at	AF062397.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF065205.1_RC_s_at	AF065205.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF065205.1_s_at	AF065205.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF065206.1_RC_at	AF065206.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF065207.1_RC_at	AF065207.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF065207.1_s_at	AF065207.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	0020036 // Maurer's cleft // traceable author statement	---	
AF087698.1_RC_at	AF087698.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF087698.1_s_at	AF087698.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF087699.1_s_at	AF087699.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF091994.1_at	AF091994.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	0016459 // myosin complex // inferred from electronic annotation	0003774 // motor activity // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation	
AF091994.1_RC_at	AF091994.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF091994.1_s_at	AF091994.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	0005886 // plasma membrane // inferred from direct assay /// 0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016459 // myosin complex // inferred from electronic annotation /// 0020039 // pellicle // inferred from direct assay	0000166 // nucleotide binding // inferred from electronic annotation /// 0003774 // motor activity // inferred from electronic annotation /// 0003779 // actin binding // inferred from direct assay /// 0003779 // actin binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation	
AF091994.1_x_at	AF091994.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	0016459 // myosin complex // inferred from electronic annotation	0003774 // motor activity // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation	
AF091995.1_RC_at	AF091995.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF091995.1_s_at	AF091995.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0006412 // translation // inferred from electronic annotation	0005622 // intracellular // inferred from electronic annotation /// 0005840 // ribosome // inferred from electronic annotation /// 0015935 // small ribosomal subunit // inferred from electronic annotation /// 0030529 // ribonucleoprotein complex // inferred from electronic annotation	0003723 // RNA binding // inferred from electronic annotation /// 0003735 // structural constituent of ribosome // inferred from electronic annotation	
AF115767.1_at	AF115767.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0015992 // proton transport // inferred from electronic annotation	0016020 // membrane // inferred from electronic annotation	0004427 // inorganic diphosphatase activity // inferred from electronic annotation /// 0009678 // hydrogen-translocating pyrophosphatase activity // inferred from electronic annotation	
AF115767.1_s_at	AF115767.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0006885 // regulation of pH // traceable author statement /// 0015992 // proton transport // inferred from electronic annotation	0016020 // membrane // inferred from electronic annotation	0004427 // inorganic diphosphatase activity // inferred from electronic annotation /// 0009678 // hydrogen-translocating pyrophosphatase activity // inferred from electronic annotation /// 0015078 // hydrogen ion transmembrane transporter activity // traceable author statement	
AF132898.1_RC_at	AF132898.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF145237.1_RC_at	AF145237.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF161312.1_at	AF161312.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF203338.1_at	AF203338.1		Anopheles gambiae	22-Jun-11	---	---	---	---	---	---		---	0006508 // proteolysis // inferred from electronic annotation	---	0003824 // catalytic activity // inferred from electronic annotation /// 0004252 // serine-type endopeptidase activity // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation	
AF203338.1_s_at	XM_320066		Anopheles gambiae	22-Jun-11	---	---	---	---	AGAP009272-PA	AgaP_AGAP009272	1280237	XM_320066	0006508 // proteolysis // inferred from electronic annotation	---	0003824 // catalytic activity // inferred from electronic annotation /// 0004252 // serine-type endopeptidase activity // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation	
AF203339.1_at	AF203339.1		Anopheles gambiae	22-Jun-11	---	---	---	---	---	---		---	---	---	0004867 // serine-type endopeptidase inhibitor activity // inferred from electronic annotation	
AF203339.1_s_at	XM_308845		Anopheles gambiae	22-Jun-11	---	---	---	---	serine protease inhibitor (AGAP006911-PA)	SRPN2	1270169	XM_308845	---	---	0004867 // serine-type endopeptidase inhibitor activity // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation	
AF221775.1_at	AF221775.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221775.1_RC_at	AF221775.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF221776.1_at	AF221776.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221776.1_RC_at	AF221776.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF221776.1_RC_x_at	AF221776.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF221776.1_s_at	AF221776.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221776.1_x_at	AF221776.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221777.1_RC_x_at	AF221777.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF221777.1_x_at	AF221777.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221778.1_RC_at	AF221778.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF221778.1_RC_x_at	AF221778.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF221778.1_x_at	AF221778.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221779.1_at	AF221779.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221780.1_at	AF221780.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221780.1_x_at	AF221780.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221781.1_at	AF221781.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221781.1_RC_at	AF221781.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF221781.1_RC_x_at	AF221781.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF221781.1_x_at	AF221781.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221782.1_at	AF221782.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221782.1_s_at	AF221782.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221782.1_x_at	AF221782.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221783.1_at	AF221783.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221784.1_at	AF221784.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221784.1_RC_at	AF221784.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF221785.1_RC_at	AF221785.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF221785.1_RC_x_at	AF221785.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF221785.1_x_at	AF221785.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221786.1_at	AF221786.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221786.1_RC_at	AF221786.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF221786.1_RC_x_at	AF221786.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF221786.1_x_at	AF221786.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221787.1_at	AF221787.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221787.1_RC_at	AF221787.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF221787.1_RC_x_at	AF221787.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF221787.1_s_at	AF221787.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF221787.1_x_at	AF221787.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221788.1_at	AF221788.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221789.1_x_at	AF221789.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221790.1_at	AF221790.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221790.1_RC_at	AF221790.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF221790.1_x_at	AF221790.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221791.1_at	AF221791.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221791.1_RC_at	AF221791.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF221791.1_RC_x_at	AF221791.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF221791.1_x_at	AF221791.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221792.1_at	AF221792.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221792.1_RC_at	AF221792.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF221792.1_RC_x_at	AF221792.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF221792.1_x_at	AF221792.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221793.1_s_at	AF221793.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
AF221793.1_x_at	AF221793.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	0009405 // pathogenesis // inferred from electronic annotation	0016021 // integral to membrane // inferred from electronic annotation	0004872 // receptor activity // inferred from electronic annotation	
